"sat","tothrs","hsize","hsrank","hsperc","colgpa","athlete","female","white","black","gpaletter"
1200,39,4.8899999,209,25.739,2.3800001,"FALSE","TRUE","TRUE","FALSE","C"
1090,118,0.60000002,2,3.333,3.9200001,"FALSE","TRUE","TRUE","FALSE","A"
1340,46,3.76,130,34.574,2.23,"FALSE","FALSE","TRUE","FALSE","C"
740,12,5.3200002,390,73.308,1.33,"FALSE","TRUE","TRUE","FALSE","D"
880,85,3.8,71,18.684,2.8099999,"FALSE","FALSE","TRUE","FALSE","B"
820,42,2.28,155,67.982,2.0899999,"TRUE","FALSE","TRUE","FALSE","C"
1060,43,5.5100002,248,45.009,2.25,"FALSE","FALSE","TRUE","FALSE","C"
730,50,4.8200002,273,56.639,1.9,"TRUE","FALSE","FALSE","TRUE","C"
820,16,3.9000001,102,26.154,3,"FALSE","TRUE","TRUE","FALSE","B"
780,71,0.77999997,17,21.795,2.4000001,"TRUE","FALSE","TRUE","FALSE","C"
1040,78,4.9200001,92,18.699,2.1600001,"FALSE","FALSE","TRUE","FALSE","C"
870,13,1.86,86,46.237,2.0699999,"FALSE","TRUE","TRUE","FALSE","C"
940,19,1.85,41,22.162,2.3499999,"FALSE","FALSE","TRUE","FALSE","C"
980,47,1.52,45,29.605,2,"TRUE","FALSE","FALSE","TRUE","C"
1020,103,0.1,2,20,2.9100001,"FALSE","TRUE","TRUE","FALSE","B"
1180,105,6.3699999,255,40.031,3,"TRUE","FALSE","TRUE","FALSE","B"
1100,72,0.12,2,16.667,2.72,"FALSE","FALSE","TRUE","FALSE","B"
1030,18,2.52,27,10.714,3.55,"FALSE","FALSE","TRUE","FALSE","A"
960,16,0.1,5,50,3.25,"FALSE","TRUE","TRUE","FALSE","B"
910,15,1.27,28,22.047,2.8599999,"FALSE","FALSE","TRUE","FALSE","B"
1060,42,0.13,1,7.692,2.04,"FALSE","FALSE","TRUE","FALSE","C"
880,14,0.029999999,1,33.333,1.92,"FALSE","TRUE","TRUE","FALSE","C"
1010,17,0.28,2,7.143,3.5799999,"FALSE","TRUE","TRUE","FALSE","A"
700,38,0.31999999,22,68.75,2.3900001,"TRUE","FALSE","TRUE","FALSE","C"
930,15,3.72,67,18.011,3.46,"FALSE","TRUE","TRUE","FALSE","B"
900,18,2.54,69,27.165,3.1600001,"FALSE","FALSE","TRUE","FALSE","B"
1090,29,2.02,121,59.901,1.03,"FALSE","FALSE","TRUE","FALSE","D"
1120,79,4.6999998,78,16.596,3,"FALSE","TRUE","FALSE","FALSE","B"
960,15,4.4699998,320,71.588,2.3299999,"TRUE","FALSE","FALSE","TRUE","C"
890,37,1.24,50,40.323,2.45,"TRUE","FALSE","TRUE","FALSE","C"
1240,47,5.3699999,31,5.773,3.6500001,"FALSE","FALSE","TRUE","FALSE","A"
1090,113,3.6400001,50,13.736,3.6099999,"FALSE","TRUE","TRUE","FALSE","A"
820,47,6.3400002,68,10.726,3.25,"FALSE","TRUE","TRUE","FALSE","B"
940,16,3.4200001,53,15.497,3.8099999,"FALSE","FALSE","TRUE","FALSE","A"
820,40,5.71,344,60.245,2.25,"TRUE","FALSE","FALSE","FALSE","C"
970,39,5.6599998,83,14.664,2.4100001,"TRUE","FALSE","TRUE","FALSE","C"
790,17,5.9699998,72,12.06,2.8199999,"TRUE","FALSE","TRUE","FALSE","B"
1080,13,0.1,7,70,2.3,"FALSE","TRUE","TRUE","FALSE","C"
850,48,3.0999999,54,17.419,3.27,"FALSE","TRUE","TRUE","FALSE","B"
850,15,0.73000002,5,6.849,2.6600001,"TRUE","TRUE","TRUE","FALSE","B"
820,95,1.3099999,98,74.809,2.26,"TRUE","FALSE","TRUE","FALSE","C"
1120,12,4.8800001,20,4.098,2.3299999,"TRUE","FALSE","TRUE","FALSE","C"
880,43,4.0700002,70,17.199,2.3699999,"TRUE","TRUE","TRUE","FALSE","C"
1230,85,2.3,1,0.435,4,"FALSE","FALSE","TRUE","FALSE","A"
780,86,3.47,38,10.951,3.8099999,"FALSE","FALSE","TRUE","FALSE","A"
1280,55,2.03,3,1.478,3.8699999,"FALSE","TRUE","TRUE","FALSE","A"
1260,13,2.1700001,5,2.304,4,"FALSE","TRUE","TRUE","FALSE","A"
830,83,2,84,42,1.95,"TRUE","FALSE","FALSE","TRUE","C"
980,16,0.92000002,28,30.435,2.4300001,"FALSE","FALSE","TRUE","FALSE","C"
960,14,4.5700002,329,71.991,1.21,"TRUE","FALSE","TRUE","FALSE","D"
1040,15,3.6099999,31,8.587,3,"FALSE","FALSE","TRUE","FALSE","B"
930,12,3.25,26,8,1.75,"FALSE","TRUE","FALSE","FALSE","C"
1040,79,3.24,187,57.716,1.73,"TRUE","FALSE","FALSE","TRUE","C"
820,13,3.03,147,48.515,1.84,"FALSE","TRUE","TRUE","FALSE","C"
1310,16,4.6700001,122,26.124,2.25,"FALSE","FALSE","TRUE","FALSE","C"
770,15,1,30,30,2.1300001,"FALSE","TRUE","FALSE","FALSE","C"
1180,18,4.8000002,48,10,3.77,"FALSE","FALSE","TRUE","FALSE","A"
1310,53,3.2,30,9.375,3.22,"FALSE","FALSE","TRUE","FALSE","B"
1150,63,3.02,64,21.192,2.1700001,"FALSE","FALSE","TRUE","FALSE","C"
1130,113,1.66,33,19.88,2.77,"FALSE","FALSE","FALSE","FALSE","B"
1110,122,2.04,9,4.412,3.3599999,"FALSE","TRUE","TRUE","FALSE","B"
1210,16,2.9300001,14,4.778,3.6199999,"FALSE","FALSE","TRUE","FALSE","A"
1090,20,1.87,6,3.209,3.7,"FALSE","TRUE","TRUE","FALSE","A"
1040,54,3.55,82,23.099,2,"FALSE","TRUE","TRUE","FALSE","C"
1340,81,1.11,15,13.514,3.6900001,"FALSE","TRUE","TRUE","FALSE","A"
900,76,0.86000001,16,18.605,1.75,"FALSE","FALSE","TRUE","FALSE","C"
1030,52,2.0599999,57,27.67,2.1900001,"TRUE","FALSE","TRUE","FALSE","C"
1190,77,4.2399998,26,6.132,3.4000001,"FALSE","TRUE","TRUE","FALSE","B"
990,16,2.51,39,15.538,1.4299999,"FALSE","TRUE","TRUE","FALSE","D"
1160,50,3.72,79,21.237,2.78,"FALSE","TRUE","TRUE","FALSE","B"
1140,71,2.4100001,24,9.959,2.6099999,"TRUE","FALSE","TRUE","FALSE","B"
1180,87,4.6900001,36,7.676,3.0899999,"TRUE","FALSE","TRUE","FALSE","B"
1120,49,0.1,1,10,3.4100001,"FALSE","TRUE","TRUE","FALSE","B"
1010,15,3.1900001,157,49.216,1.9299999,"FALSE","TRUE","TRUE","FALSE","C"
1160,113,4.02,15,3.731,2.8800001,"FALSE","FALSE","TRUE","FALSE","B"
1200,16,4.3200002,209,48.38,3.3099999,"FALSE","TRUE","TRUE","FALSE","B"
720,16,4.3000002,230,53.488,1.9299999,"TRUE","TRUE","FALSE","FALSE","C"
1190,36,2.6099999,97,37.165,2.4100001,"FALSE","FALSE","TRUE","FALSE","C"
970,14,3.4100001,116,34.018,2.9200001,"FALSE","TRUE","TRUE","FALSE","B"
1210,17,5.1100001,1,0.196,3.52,"FALSE","TRUE","TRUE","FALSE","A"
930,49,2,65,32.5,2.9300001,"FALSE","FALSE","TRUE","FALSE","B"
1000,74,2.3599999,75,31.78,2.28,"FALSE","FALSE","TRUE","FALSE","C"
970,42,4.3299999,130,30.023,1.95,"FALSE","FALSE","TRUE","FALSE","C"
960,45,0.1,3,30,3.02,"TRUE","TRUE","TRUE","FALSE","B"
980,47,0.1,4,40,3.25,"FALSE","FALSE","TRUE","FALSE","B"
960,118,2.26,96,42.478,3.3199999,"FALSE","FALSE","TRUE","FALSE","B"
970,79,0.1,3,30,2.03,"TRUE","FALSE","TRUE","FALSE","C"
960,79,0.74000001,7,9.459,2.3399999,"FALSE","TRUE","TRUE","FALSE","C"
1160,96,2.1199999,19,8.962,3.4100001,"FALSE","FALSE","TRUE","FALSE","B"
1080,80,2.1199999,100,47.17,2.5599999,"FALSE","FALSE","TRUE","FALSE","B"
990,14,3.05,3,0.984,4,"FALSE","TRUE","TRUE","FALSE","A"
1130,18,2.3499999,91,38.723,1.33,"FALSE","TRUE","TRUE","FALSE","D"
1060,12,2.3499999,66,28.085,2.25,"FALSE","FALSE","TRUE","FALSE","C"
1060,15,2.3499999,44,18.723,2.5999999,"FALSE","TRUE","TRUE","FALSE","B"
1120,73,2.95,15,5.085,2.6300001,"FALSE","FALSE","TRUE","FALSE","B"
1030,17,2.78,59,21.223,2.5799999,"FALSE","FALSE","TRUE","FALSE","B"
1070,48,3.1500001,99,31.429,3.04,"FALSE","FALSE","TRUE","FALSE","B"
910,13,3.72,85,22.849,2.76,"FALSE","FALSE","TRUE","FALSE","B"
1100,108,3.73,188,50.402,1.95,"FALSE","FALSE","TRUE","FALSE","C"
1000,106,3.73,127,34.048,2.9200001,"FALSE","FALSE","TRUE","FALSE","B"
1000,17,3.71,99,26.685,3.4100001,"FALSE","FALSE","TRUE","FALSE","B"
970,46,4.0999999,113,27.561,2.73,"FALSE","TRUE","TRUE","FALSE","B"
1070,35,6,62,10.333,2.54,"FALSE","FALSE","TRUE","FALSE","B"
950,15,2.8499999,24,8.421,3.0599999,"FALSE","FALSE","TRUE","FALSE","B"
1140,16,2.1700001,34,15.668,1.9299999,"FALSE","TRUE","TRUE","FALSE","C"
1060,17,1.5599999,27,17.308,3.23,"FALSE","FALSE","TRUE","FALSE","B"
940,50,2.51,45,17.928,2.54,"TRUE","FALSE","TRUE","FALSE","B"
960,48,1,39,39,2.22,"FALSE","FALSE","TRUE","FALSE","C"
890,104,2.0999999,38,18.095,1.99,"FALSE","FALSE","TRUE","FALSE","C"
1120,41,3.28,152,46.341,1.75,"FALSE","TRUE","TRUE","FALSE","C"
1150,14,0.1,4,40,3.1400001,"FALSE","FALSE","TRUE","FALSE","B"
1270,107,0.1,4,40,3.24,"FALSE","FALSE","TRUE","FALSE","B"
1100,18,0.1,4,40,2,"FALSE","TRUE","TRUE","FALSE","C"
1150,14,0.1,5,50,2.5,"FALSE","FALSE","TRUE","FALSE","B"
1090,15,1.5,79,52.667,1.6,"FALSE","FALSE","TRUE","FALSE","C"
1220,110,0.1,5,50,3.05,"FALSE","TRUE","TRUE","FALSE","B"
1070,102,0.1,5,50,2.4100001,"FALSE","FALSE","TRUE","FALSE","C"
1030,15,1.36,4,2.941,2.73,"FALSE","TRUE","TRUE","FALSE","B"
980,49,3.2,17,5.312,2.9300001,"FALSE","FALSE","TRUE","FALSE","B"
930,44,2.71,40,14.76,2.5,"FALSE","TRUE","TRUE","FALSE","B"
1030,43,3.0799999,62,20.13,2.6900001,"FALSE","TRUE","TRUE","FALSE","B"
1100,71,3.0599999,99,32.353,2.6099999,"TRUE","FALSE","TRUE","FALSE","B"
1100,18,3.0999999,28,9.032,2.9400001,"FALSE","FALSE","TRUE","FALSE","B"
1070,50,1.78,10,5.618,3.4400001,"FALSE","FALSE","TRUE","FALSE","B"
980,16,2.27,21,9.251,3.1199999,"FALSE","FALSE","TRUE","FALSE","B"
1000,50,1.78,23,12.921,3.46,"FALSE","TRUE","TRUE","FALSE","B"
1190,17,1.78,40,22.472,3.6400001,"FALSE","TRUE","TRUE","FALSE","A"
1060,35,2.6099999,76,29.119,2.5699999,"FALSE","FALSE","FALSE","FALSE","B"
1240,16,2.9400001,41,13.946,3.4300001,"FALSE","TRUE","TRUE","FALSE","B"
950,115,2.1199999,70,33.019,2.24,"FALSE","TRUE","TRUE","FALSE","C"
1300,42,2.6099999,142,54.406,2.78,"FALSE","FALSE","TRUE","FALSE","B"
860,92,2.74,110,40.146,2.1300001,"TRUE","FALSE","TRUE","FALSE","C"
1010,94,2.5599999,74,28.906,2.6900001,"FALSE","FALSE","TRUE","FALSE","B"
1180,117,2.5599999,94,36.719,3.29,"FALSE","TRUE","TRUE","FALSE","B"
1040,69,0.1,4,40,2.3099999,"FALSE","TRUE","TRUE","FALSE","C"
1010,16,1.95,36,18.462,2.3099999,"FALSE","TRUE","TRUE","FALSE","C"
1000,17,1.96,35,17.857,1.88,"FALSE","FALSE","TRUE","FALSE","C"
1030,17,0.1,3,30,2.47,"FALSE","FALSE","TRUE","FALSE","C"
1100,18,2.3599999,22,9.322,2.6600001,"FALSE","FALSE","TRUE","FALSE","B"
1240,92,0.57999998,16,27.586,2.77,"FALSE","FALSE","TRUE","FALSE","B"
1110,45,0.47999999,20,41.667,3.77,"TRUE","TRUE","TRUE","FALSE","A"
1070,14,1.86,87,46.774,1,"FALSE","FALSE","TRUE","FALSE","D"
1040,47,1.95,60,30.769,2.02,"FALSE","FALSE","TRUE","FALSE","C"
1290,93,2.3099999,1,0.433,3.4300001,"FALSE","TRUE","TRUE","FALSE","B"
1010,78,2.3099999,36,15.584,2.6900001,"FALSE","FALSE","TRUE","FALSE","B"
1080,50,0.50999999,8,15.686,3.7,"FALSE","FALSE","TRUE","FALSE","A"
1120,41,3.4400001,8,2.326,3.6800001,"FALSE","TRUE","TRUE","FALSE","A"
1210,49,3.4400001,120,34.884,1.97,"FALSE","FALSE","TRUE","FALSE","C"
990,16,4.0100002,94,23.441,2.9300001,"FALSE","TRUE","TRUE","FALSE","B"
1130,13,1.1,64,58.182,2.23,"FALSE","FALSE","TRUE","FALSE","C"
840,16,0.47999999,32,66.667,2.1199999,"TRUE","TRUE","TRUE","FALSE","C"
1050,45,5.5,39,7.091,3.6600001,"FALSE","TRUE","TRUE","FALSE","A"
1050,15,6.1999998,266,42.903,1.8,"TRUE","FALSE","TRUE","FALSE","C"
1000,50,5.5,117,21.273,2.48,"FALSE","TRUE","TRUE","FALSE","C"
1020,81,4.6300001,28,6.048,2.97,"FALSE","TRUE","TRUE","FALSE","B"
960,48,5.5,163,29.636,1.7,"FALSE","TRUE","FALSE","FALSE","C"
890,75,3.96,451,58.724,1.98,"TRUE","TRUE","TRUE","FALSE","C"
1320,16,2.3800001,3,0.351,4,"FALSE","FALSE","TRUE","FALSE","A"
1140,32,1.61,4,2.484,3.3699999,"FALSE","TRUE","TRUE","FALSE","B"
1000,106,1.52,41,26.974,1.84,"FALSE","FALSE","TRUE","FALSE","C"
1040,40,1.61,89,55.28,2.1500001,"FALSE","FALSE","TRUE","FALSE","C"
850,11,1.79,153,85.475,1.8099999,"TRUE","FALSE","TRUE","FALSE","C"
1050,116,6,21,3.5,3.5599999,"FALSE","TRUE","TRUE","FALSE","A"
1140,14,2.7,16,5.926,2.0699999,"FALSE","FALSE","TRUE","FALSE","C"
1120,73,4.6300001,42,9.071,2.23,"FALSE","TRUE","TRUE","FALSE","C"
1060,126,1.52,21,13.816,3.1099999,"FALSE","TRUE","TRUE","FALSE","B"
1090,18,6.6100001,159,24.054,2.72,"FALSE","FALSE","TRUE","FALSE","B"
1080,70,0.40000001,21,52.5,2.1099999,"FALSE","FALSE","TRUE","FALSE","C"
1070,48,5.1199999,70,13.672,2.75,"FALSE","TRUE","TRUE","FALSE","B"
1130,18,5.8400002,100,17.123,3.1600001,"FALSE","FALSE","TRUE","FALSE","B"
1130,49,3.6099999,19,5.263,3.6900001,"FALSE","FALSE","TRUE","FALSE","A"
1000,11,3.9300001,73,18.575,2.45,"FALSE","FALSE","TRUE","FALSE","C"
1130,44,3.6099999,28,7.756,3.72,"FALSE","FALSE","TRUE","FALSE","A"
1130,42,3.6099999,60,16.62,2.02,"FALSE","TRUE","TRUE","FALSE","C"
1120,58,3.53,29,8.215,3.1300001,"FALSE","TRUE","TRUE","FALSE","B"
1180,17,2.75,4,1.455,2.76,"FALSE","FALSE","TRUE","FALSE","B"
1020,78,5.8000002,22,3.793,2.8699999,"FALSE","TRUE","TRUE","FALSE","B"
810,16,6.4699998,69,10.665,2.4300001,"FALSE","TRUE","TRUE","FALSE","C"
940,15,2.3399999,14,5.983,3.0599999,"FALSE","TRUE","TRUE","FALSE","B"
880,16,3.21,51,15.888,2.75,"FALSE","TRUE","TRUE","FALSE","B"
910,52,3.8599999,190,49.223,2.46,"TRUE","FALSE","FALSE","TRUE","C"
1150,106,4,1,0.25,4,"FALSE","TRUE","TRUE","FALSE","A"
1040,54,4.3499999,35,8.046,3.01,"FALSE","FALSE","TRUE","FALSE","B"
1220,55,4.3499999,93,21.379,3.3,"FALSE","FALSE","TRUE","FALSE","B"
1140,47,1.59,4,2.516,3.4200001,"FALSE","TRUE","TRUE","FALSE","B"
1170,16,5.6100001,89,15.865,3.4300001,"FALSE","FALSE","TRUE","FALSE","B"
910,15,5.6300001,328,58.259,0.60000002,"TRUE","FALSE","TRUE","FALSE","D"
1290,45,5.21,19,3.647,3.71,"FALSE","FALSE","TRUE","FALSE","A"
1340,78,4.9899998,4,0.802,3.3800001,"FALSE","FALSE","TRUE","FALSE","B"
1110,127,3.4400001,99,28.779,2.6199999,"FALSE","FALSE","TRUE","FALSE","B"
1040,81,3.2,20,6.25,3.49,"FALSE","FALSE","TRUE","FALSE","B"
1070,13,0.37,11,29.73,2.53,"FALSE","FALSE","TRUE","FALSE","B"
1200,18,3.25,7,2.154,3.77,"FALSE","FALSE","TRUE","FALSE","A"
950,90,3.4000001,46,13.529,2.6500001,"FALSE","FALSE","TRUE","FALSE","B"
1110,46,0.039999999,2,50,2.6700001,"TRUE","TRUE","TRUE","FALSE","B"
970,40,4.54,140,30.837,2.3499999,"FALSE","FALSE","TRUE","FALSE","C"
1090,83,3.6400001,33,9.066,2.6700001,"FALSE","TRUE","TRUE","FALSE","B"
960,35,3.71,110,29.65,2.05,"FALSE","TRUE","TRUE","FALSE","C"
980,41,0.1,6,60,2.3099999,"FALSE","TRUE","TRUE","FALSE","C"
1070,14,3.6199999,61,16.851,2.9200001,"FALSE","FALSE","TRUE","FALSE","B"
1040,17,1.27,7,5.512,2.9400001,"FALSE","FALSE","TRUE","FALSE","B"
1170,73,4.6999998,127,27.021,3.28,"TRUE","FALSE","TRUE","FALSE","B"
1010,18,4.6700001,116,24.839,2.72,"FALSE","FALSE","TRUE","FALSE","B"
1110,15,3.96,46,11.616,2.9300001,"FALSE","TRUE","TRUE","FALSE","B"
890,15,3.96,100,25.253,2.2,"FALSE","TRUE","TRUE","FALSE","C"
950,97,6.5,75,11.538,2.4200001,"FALSE","FALSE","TRUE","FALSE","C"
780,14,6.54,81,12.385,2.8499999,"TRUE","TRUE","FALSE","FALSE","B"
1230,97,3.3900001,13,3.835,2.1600001,"FALSE","TRUE","TRUE","FALSE","C"
1160,18,1.9400001,4,2.062,3.55,"FALSE","TRUE","TRUE","FALSE","A"
1020,41,2.52,56,22.222,2.46,"FALSE","TRUE","TRUE","FALSE","C"
1200,84,0.1,3,30,2.26,"FALSE","FALSE","TRUE","FALSE","C"
1230,46,2.6800001,6,2.239,3.47,"FALSE","FALSE","TRUE","FALSE","B"
1110,129,0.1,4,40,2.2,"FALSE","TRUE","TRUE","FALSE","C"
1250,38,1.15,11,9.565,2.3399999,"FALSE","FALSE","TRUE","FALSE","C"
980,32,1.15,55,47.826,2.1800001,"FALSE","FALSE","TRUE","FALSE","C"
1100,80,0.94,44,46.809,3.0999999,"FALSE","FALSE","TRUE","FALSE","B"
880,38,2.54,116,45.669,2,"FALSE","FALSE","TRUE","FALSE","C"
1050,57,3.1600001,8,2.532,2.9400001,"FALSE","FALSE","TRUE","FALSE","B"
910,117,5,122,24.4,3.03,"FALSE","TRUE","TRUE","FALSE","B"
1140,46,5.9400001,47,7.912,3.3199999,"FALSE","TRUE","TRUE","FALSE","B"
990,83,5.6599998,8,1.413,3.1400001,"FALSE","FALSE","TRUE","FALSE","B"
1130,42,5.9400001,209,35.185,2.76,"FALSE","FALSE","TRUE","FALSE","B"
1010,17,5.4299998,252,37.059,1.29,"FALSE","TRUE","TRUE","FALSE","D"
1030,108,5.4400001,52,9.559,3.1099999,"FALSE","TRUE","TRUE","FALSE","B"
1070,50,4.5999999,8,1.739,2.1199999,"FALSE","TRUE","TRUE","FALSE","C"
900,29,3.1099999,17,5.466,2.72,"FALSE","TRUE","TRUE","FALSE","B"
1030,125,4.4899998,33,7.35,2.8199999,"FALSE","FALSE","TRUE","FALSE","B"
940,45,2.1199999,7,3.302,3.1099999,"FALSE","TRUE","TRUE","FALSE","B"
1020,13,4.4000001,61,13.864,2.46,"FALSE","FALSE","TRUE","FALSE","C"
980,76,2.1300001,10,4.695,3.01,"FALSE","TRUE","TRUE","FALSE","B"
1060,16,3.9300001,47,11.959,3.1800001,"FALSE","FALSE","TRUE","FALSE","B"
1160,80,4.0300002,20,4.963,3.5,"FALSE","FALSE","TRUE","FALSE","A"
1210,17,4.3499999,25,5.747,2.7,"FALSE","FALSE","TRUE","FALSE","B"
1050,43,2.5,32,12.8,2.76,"FALSE","TRUE","TRUE","FALSE","B"
1160,17,4.9400001,94,19.028,2.8800001,"FALSE","FALSE","TRUE","FALSE","B"
850,83,1.73,26,15.029,3.6099999,"FALSE","TRUE","TRUE","FALSE","A"
950,46,0.61000001,16,26.23,2.71,"FALSE","TRUE","TRUE","FALSE","B"
940,16,4.2800002,47,10.981,2.4300001,"FALSE","TRUE","TRUE","FALSE","C"
1040,81,4.0100002,42,10.474,3.2,"FALSE","TRUE","TRUE","FALSE","B"
1090,114,3.9400001,24,6.091,3.02,"FALSE","FALSE","TRUE","FALSE","B"
1210,52,4.48,6,1.339,4,"FALSE","FALSE","TRUE","FALSE","A"
1100,50,1.24,1,0.806,3.2,"FALSE","TRUE","TRUE","FALSE","B"
1180,81,3.21,167,52.025,1.8200001,"TRUE","FALSE","TRUE","FALSE","C"
750,41,6.1500001,76,12.358,1.41,"FALSE","FALSE","FALSE","FALSE","D"
1280,80,2.76,44,6.414,3.76,"FALSE","FALSE","TRUE","FALSE","A"
940,16,0.1,6,60,2.6199999,"FALSE","FALSE","TRUE","FALSE","B"
1010,15,0.79000002,12,15.19,1.9299999,"FALSE","TRUE","TRUE","FALSE","C"
990,108,1.74,71,40.805,2.6900001,"FALSE","TRUE","TRUE","FALSE","B"
990,16,3.6099999,86,23.823,1.5,"FALSE","FALSE","TRUE","FALSE","C"
1010,90,2.74,21,7.664,3.1600001,"FALSE","TRUE","TRUE","FALSE","B"
1130,78,2.1500001,20,9.302,3.1099999,"FALSE","TRUE","TRUE","FALSE","B"
970,47,2.1300001,15,7.042,3.29,"FALSE","TRUE","TRUE","FALSE","B"
1050,18,3.72,18,4.839,2.9400001,"FALSE","TRUE","TRUE","FALSE","B"
1080,113,0.60000002,12,20,3.3099999,"FALSE","FALSE","TRUE","FALSE","B"
1050,16,4.25,55,12.941,2.9300001,"FALSE","FALSE","TRUE","FALSE","B"
1000,50,3.8,4,1.053,3.28,"FALSE","TRUE","TRUE","FALSE","B"
1270,13,6.6300001,20,3.017,3.46,"FALSE","FALSE","TRUE","FALSE","B"
1160,18,0.37,17,45.946,2.27,"FALSE","FALSE","TRUE","FALSE","C"
930,10,3.5999999,123,34.167,1.5,"FALSE","TRUE","TRUE","FALSE","C"
1010,80,4,57,14.25,2.3099999,"FALSE","FALSE","TRUE","FALSE","C"
1010,16,3.5999999,9,2.5,3.6199999,"FALSE","TRUE","TRUE","FALSE","A"
990,52,4,5,1.25,2.6900001,"FALSE","TRUE","TRUE","FALSE","B"
1000,92,5.77,402,69.671,1.91,"TRUE","FALSE","FALSE","TRUE","C"
1050,45,4.96,104,20.968,2.53,"FALSE","FALSE","TRUE","FALSE","B"
1150,82,4.5799999,10,2.183,3.6199999,"FALSE","TRUE","TRUE","FALSE","A"
1050,81,4.1199999,21,5.097,2.9000001,"FALSE","FALSE","TRUE","FALSE","B"
990,15,1.09,23,21.101,3.1300001,"FALSE","TRUE","TRUE","FALSE","B"
1050,16,4.8800001,56,11.475,2.8699999,"FALSE","FALSE","TRUE","FALSE","B"
1170,15,3.9300001,84,21.374,2.26,"FALSE","FALSE","TRUE","FALSE","C"
930,43,6.04,27,4.47,3.48,"TRUE","TRUE","TRUE","FALSE","B"
1000,18,4.4699998,80,17.897,2.4400001,"FALSE","FALSE","TRUE","FALSE","C"
1020,17,3.3,12,3.636,3.1700001,"FALSE","TRUE","TRUE","FALSE","B"
1160,87,3.5,10,2.857,3.0799999,"FALSE","TRUE","TRUE","FALSE","B"
1130,18,4.6700001,6,1.285,3.3800001,"FALSE","TRUE","TRUE","FALSE","B"
900,80,3.5999999,7,1.944,3.0599999,"FALSE","TRUE","TRUE","FALSE","B"
870,78,3.5999999,11,3.056,2.75,"FALSE","TRUE","TRUE","FALSE","B"
970,114,1.11,14,12.613,3.0599999,"FALSE","FALSE","FALSE","FALSE","B"
1090,63,1.28,30,23.438,2.5999999,"FALSE","FALSE","TRUE","FALSE","B"
1040,39,5.4000001,36,6.667,3.1700001,"FALSE","TRUE","TRUE","FALSE","B"
1070,17,6.0100002,84,13.977,3.1700001,"FALSE","FALSE","TRUE","FALSE","B"
810,44,5.1999998,214,41.154,2.3599999,"TRUE","FALSE","TRUE","FALSE","C"
1200,14,6.3099999,43,6.815,3.21,"FALSE","FALSE","TRUE","FALSE","B"
1020,81,5.0500002,17,3.366,3.5899999,"FALSE","TRUE","TRUE","FALSE","A"
1230,110,4.4000001,45,10.227,2.8399999,"FALSE","TRUE","TRUE","FALSE","B"
1040,111,4.6300001,220,29.333,2.98,"FALSE","TRUE","TRUE","FALSE","B"
830,11,4.6500001,271,37.073,1.9,"FALSE","TRUE","TRUE","FALSE","C"
